Gene_symbol	Chromosome	Start position	End position	Ensembl
ARF5	7	127588345	127591705	ENST00000000233
M6PR	12	8940365	8949955	ENST00000000412
RALA	7	39623483	39708124	ENST00000005257
DVL2	17	7225341	7234545	ENST00000005340
TSR3	16	1349240	1351911	ENST00000007390
NDUFAB1	16	23581002	23596356	ENST00000007516
RPS20	8	56072947	56074506	ENST00000009589
RANBP9	6	13621498	13711564	ENST00000011619
SS18L2	3	42590838	42594996	ENST00000011691
PPP5C	19	46346994	46390852	ENST00000012443
VDAC3	8	42391903	42405897	ENST00000022615
RTF2	20	56468585	56518886	ENST00000023939
B4GALT7	5	177600100	177610347	ENST00000029410
GABARAPL2	16	75566351	75577881	ENST00000037243
MRPS10	6	42206801	42217865	ENST00000053468
VAMP3	1	7771269	7781432	ENST00000054666
RCN1	11	32090904	32105755	ENST00000054950
FAM168A	11	73400487	73598189	ENST00000064778
CDC27	17	47117703	47189266	ENST00000066544
RPL18	19	48615331	48617884	ENST00000084795
EPN1	19	55675245	55695766	ENST00000085079
GPKOW	X	49113389	49123801	ENST00000156109
KDM4B	19	4969121	5153595	ENST00000159111
FOXJ2	12	8032703	8055503	ENST00000162391
GOLGA5	14	92794231	92839963	ENST00000163416
PPP2R5B	11	64924671	64934473	ENST00000164133
REXO1	19	1815246	1848463	ENST00000170168
MKRN2	3	12557014	12583713	ENST00000170447
LAPTM4A	2	20032650	20052028	ENST00000175091
NDUFB4	3	120596309	120602500	ENST00000184266
ERLEC1	2	53787080	53818819	ENST00000185150
TMEM131	2	97756340	97995891	ENST00000186436
PLOD1	1	11934753	11975537	ENST00000196061
RPS5	19	58387269	58394803	ENST00000196551
RRN3	16	15060022	15094317	ENST00000198767
DIMT1	5	62387254	62403933	ENST00000199320
EIF2AK1	7	6022244	6059230	ENST00000199389
MRPL28	16	367384	370527	ENST00000199706
TMEM230	20	5099840	5113103	ENST00000202834
PDCD7	15	65117379	65133836	ENST00000204549
GNPTG	16	1351923	1364113	ENST00000204679
SPAG7	17	4959228	4967872	ENST00000206020
TMEM101	17	44011191	44014977	ENST00000206380
PSME1	14	24136158	24138967	ENST00000206451
DHPS	19	12675721	12681902	ENST00000210060
PSMD5	9	120816053	120842984	ENST00000210313
TMED1	19	10832438	10836290	ENST00000214869
BCL7C	16	30887795	30894960	ENST00000215115
NDUFB7	19	14566078	14572062	ENST00000215565
TIMM13	19	2425624	2427894	ENST00000215570
CDC34	19	531712	542092	ENST00000215574
SNAP29	22	20858983	20891218	ENST00000215730
MIF	22	23894004	23895226	ENST00000215754
SNRPD3	22	24555503	24572772	ENST00000215829
MAPK1	22	21754500	21867629	ENST00000215832
CBY1	22	38656655	38673854	ENST00000216029
TOMM22	22	38681948	38685421	ENST00000216034
RTCB	22	32387582	32412255	ENST00000216038
JOSD1	22	38685543	38700667	ENST00000216039
GTPBP1	22	38705723	38733587	ENST00000216044
TAB1	22	39399741	39431882	ENST00000216160
MYH9	22	36281277	36388067	ENST00000216181
ST13	22	40824535	40857022	ENST00000216218
RBX1	22	40951359	40973309	ENST00000216225
PHF5A	22	41459717	41468725	ENST00000216252
PMM1	22	41576894	41589890	ENST00000216259
CERK	22	46684411	46738261	ENST00000216264
PAPOLA	14	96502373	96567111	ENST00000216277
SOS2	14	50117120	50231558	ENST00000216373
PIGH	14	67589311	67600287	ENST00000216452
PSMA3	14	58244831	58272007	ENST00000216455
AHSA1	14	77458030	77469474	ENST00000216479
PABPN1	14	23321289	23326185	ENST00000216727
PSME2	14	24143365	24147221	ENST00000216802
PNN	14	39175213	39183218	ENST00000216832
GSS	20	34928433	34955817	ENST00000216951
CTSZ	20	58995185	59007247	ENST00000217131
CHMP4B	20	33811304	33854366	ENST00000217402
AHCY	20	34280268	34303348	ENST00000217426
MYL12A	18	3247530	3256236	ENST00000217652
TAF9	5	69364745	69369642	ENST00000217893
IDH3G	X	153785766	153794523	ENST00000217901
PSMD10	X	108084207	108091618	ENST00000217958
PGRMC1	X	119236253	119244466	ENST00000217971
USP11	X	47232866	47248327	ENST00000218348
HTATSF1	X	136497511	136512346	ENST00000218364
C16orf70	16	67109988	67148539	ENST00000219139
ARL2BP	16	57245098	57253635	ENST00000219204
POLR2C	16	57462387	57472010	ENST00000219252
USB1	16	58001373	58021618	ENST00000219281
PSMD7	16	74296775	74306288	ENST00000219313
PLA2G15	16	68245344	68261062	ENST00000219345
STUB1	16	680276	682799	ENST00000219548
MAZ	16	29806596	29811164	ENST00000219782
KAT8	16	31117664	31131389	ENST00000219797
BRF2	8	37843268	37849904	ENST00000220659
EIF3E	8	108201743	108248765	ENST00000220849
EMC2	8	108443624	108486912	ENST00000220853
DCTN6	8	30156297	30183640	ENST00000221114
PPP2CB	8	30785610	30812872	ENST00000221138
KCTD9	8	25427847	25458467	ENST00000221200
PAF1	19	39385852	39391195	ENST00000221265
ECH1	19	38815422	38832005	ENST00000221418
SNRNP70	19	49085451	49108563	ENST00000221448
PPP1R37	19	45092962	45147285	ENST00000221462
SF3A2	19	2236504	2248679	ENST00000221494
AES	19	3052910	3063107	ENST00000221561
SGTA	19	2754714	2783371	ENST00000221566
FIZ1	19	55591371	55599527	ENST00000221665
POLR2I	19	36113710	36115346	ENST00000221859
CCDC9	19	47256459	47271953	ENST00000221922
RPS19	19	41860257	41871416	ENST00000221975
CDC37	19	10391134	10403533	ENST00000222005
RABAC1	19	41956681	41959390	ENST00000222008
WDR83OS	19	12668075	12669403	ENST00000222190
DNASE2	19	12875211	12881468	ENST00000222219
LENG1	19	54155161	54159882	ENST00000222224
RPL18A	19	17859876	17863316	ENST00000222247
TMEM147	19	35545595	35547526	ENST00000222284
USF2	19	35269065	35279812	ENST00000222305
KXD1	19	18557788	18569378	ENST00000222307
GSK3A	19	42230186	42242593	ENST00000222330
OGDH	7	44606639	44709066	ENST00000222673
H2AFV	7	44826791	44848077	ENST00000222690
BUD31	7	99408978	99419608	ENST00000222969
WASL	7	123681935	123749067	ENST00000223023
PLOD3	7	101205977	101217673	ENST00000223127
FIS1	7	101239612	101245085	ENST00000223136
PSMA2	7	42916857	42932223	ENST00000223321
MRPL32	7	42932200	42937857	ENST00000223324
YKT6	7	44201049	44214294	ENST00000223369
CHMP5	9	33264942	33281539	ENST00000223500
SEC61B	9	99222301	99230615	ENST00000223641
EDF1	9	136862119	136866286	ENST00000224073
UTP18	17	51260528	51297933	ENST00000225298
NUFIP2	17	29255836	29294118	ENST00000225388
RPL19	17	39200283	39204732	ENST00000225430
SUPT4H1	17	58345178	58352202	ENST00000225504
TAX1BP3	17	3662902	3668682	ENST00000225525
CBX1	17	48070052	48101521	ENST00000225603
PFN1	17	4945652	4949014	ENST00000225655
SLC25A11	17	4937130	4940251	ENST00000225665
CCDC47	17	63745250	63773775	ENST00000225726
AKAP10	17	19904302	19977837	ENST00000225737
LRRC59	17	50381238	50397553	ENST00000225972
TNFAIP1	17	28335704	28347009	ENST00000226225
FRG1	4	189940788	189963204	ENST00000226798
PRPF19	11	60890730	60906588	ENST00000227524
SART3	12	108522580	108561389	ENST00000228284
PRDM4	12	107732866	107761160	ENST00000228437
KCTD10	12	109448656	109477544	ENST00000228495
MLEC	12	120686869	120701864	ENST00000228506
CSRNP2	12	51061205	51083550	ENST00000228515
ARPC3	12	110434825	110450407	ENST00000228825
GPN3	12	110452484	110468266	ENST00000228827
CDKN1B	12	12717124	12722371	ENST00000228872
MRPL51	12	6491886	6493598	ENST00000229238
GAPDH	12	6533927	6538371	ENST00000229239
CMAS	12	22046174	22065663	ENST00000229329
RAB35	12	120095095	120116839	ENST00000229340
COX6A1	12	120438090	120440742	ENST00000229379
SRSF9	12	120461668	120469793	ENST00000229390
TMEM14C	6	10722975	10731129	ENST00000229563
HINT3	6	125956781	125980244	ENST00000229633
STK38	6	36493892	36547470	ENST00000229812
MCM3	6	52264009	52284751	ENST00000229854
RPS12	6	132814441	132817564	ENST00000230050
SNX3	6	108211222	108261260	ENST00000230085
DNPH1	6	43225629	43229484	ENST00000230431
EXOC2	6	485133	693111	ENST00000230449
TMEM30A	6	75252924	75284968	ENST00000230461
MTREX	5	55307760	55425581	ENST00000230640
TENT4A	5	6713007	6757048	ENST00000230859
DAP	5	10679230	10761272	ENST00000230895
TTC1	5	160009113	160065543	ENST00000231238
C5orf15	5	133955502	133968787	ENST00000231512
TUSC2	3	50324907	50328243	ENST00000232496
RRP9	3	51933430	51941941	ENST00000232888
EIF1B	3	40309684	40312424	ENST00000232905
WDFY1	2	223875347	223945387	ENST00000233055
DDX1	2	15591621	15631109	ENST00000233084
TMSB10	2	84905625	84906675	ENST00000233143
INO80B	2	74455023	74457960	ENST00000233331
SF3B6	2	24067584	24076443	ENST00000233468
SNX17	2	27370522	27377128	ENST00000233575
HSPE1	2	197499994	197503457	ENST00000233893
GORASP2	2	170928526	170967129	ENST00000234160
CEBPZ	2	37201612	37231713	ENST00000234170
COX7A2L	2	42350507	42361216	ENST00000234301
SARS	1	109213918	109238120	ENST00000234677
TMEM59	1	54026681	54053438	ENST00000234831
RPL22	1	6185020	6199612	ENST00000234875
MIIP	1	12019466	12032045	ENST00000235332
AKR7A2	1	19303965	19312146	ENST00000235835
EBNA1BP2	1	43164184	43172260	ENST00000236051
SYF2	1	25222679	25232493	ENST00000236273
CTSD	11	1752752	1763992	ENST00000236671
MED28	4	17614631	17634105	ENST00000237380
MYL12B	18	3261909	3278284	ENST00000237500
RPN2	20	37179046	37241623	ENST00000237530
CCNI	4	77047158	77076005	ENST00000237654
NDUFB3	2	201071739	201085750	ENST00000237889
YWHAQ	2	9583972	9631014	ENST00000238081
IRF2BPL	14	77024543	77028699	ENST00000238647
FAM98A	2	33583658	33599362	ENST00000238823
PANK3	5	168548495	168579600	ENST00000239231
PDZD11	X	70286595	70289979	ENST00000239666
UFM1	13	38349881	38363619	ENST00000239878
FAM53C	5	138338032	138349729	ENST00000239906
SERP1	3	150541994	150546641	ENST00000239944
WASHC3	12	102012939	102062124	ENST00000240079
TARDBP	1	11012400	11026420	ENST00000240185
LUC7L3	17	50719603	50752709	ENST00000240304
MRPS2	9	135500631	135504672	ENST00000241600
DYNLL1	12	120496056	120498493	ENST00000242577
RNF11	1	51236271	51273455	ENST00000242719
DDX39A	19	14408851	14419367	ENST00000242776
TRIR	19	12730640	12734775	ENST00000242784
SNRPA	19	40750859	40765389	ENST00000243563
SYS1	20	45363028	45369215	ENST00000243918
ATP5F1E	20	59025467	59032382	ENST00000243997
PLCG1	20	41136960	41175721	ENST00000244007
SRSF6	20	43457928	43464247	ENST00000244020
RNF114	20	49936348	49953892	ENST00000244061
MPHOSPH10	2	71130314	71150101	ENST00000244230
RRP36	6	43021645	43029597	ENST00000244496
SNRPC	6	34757406	34773794	ENST00000244520
MEA1	6	43012094	43013968	ENST00000244711
EMC3	3	9962537	9987120	ENST00000245046
RPS29	14	49583572	49586376	ENST00000245458
MRPS7	17	75261674	75266373	ENST00000245539
ALKBH7	19	6372433	6375251	ENST00000245812
CLPP	19	6361452	6368910	ENST00000245816
RPL23	17	38850081	38853428	ENST00000245857
TMX4	20	7977348	8019829	ENST00000246024
PITHD1	1	23778405	23788232	ENST00000246151
RALY	20	33993722	34080271	ENST00000246194
UROD	1	45012147	45015575	ENST00000246337
UBA2	19	34428363	34471251	ENST00000246548
COX6B1	19	35648223	35658861	ENST00000246554
ARL2	11	65014113	65022184	ENST00000246747
NOP53	19	47745522	47757058	ENST00000246802
SBDS	7	66987677	66995601	ENST00000246868
DDX49	19	18919675	18928627	ENST00000247003
NSRP1	17	30116781	30186475	ENST00000247026
ELK1	X	47635521	47650488	ENST00000247161
COX7C	5	86617904	86620962	ENST00000247655
NDUFB2	7	140696672	140706646	ENST00000247866
ZNF777	7	149431363	149461123	ENST00000247930
PIN1	19	9835323	9849682	ENST00000247970
EIF3K	19	38619097	38636955	ENST00000248342
EMC6	17	3668815	3669665	ENST00000248378
AAMP	2	218264123	218270257	ENST00000248450
PNKD	2	218270392	218272947	ENST00000248451
SEM1	7	96687951	96709891	ENST00000248566
PTPN12	7	77537275	77640071	ENST00000248594
DGCR6L	22	20314276	20320080	ENST00000248879
SGSM3	22	40370611	40410289	ENST00000248929
ATP6V1F	7	128862826	128865843	ENST00000249289
DNAJB9	7	108569568	108574850	ENST00000249356
MTX2	2	176269419	176338025	ENST00000249442
FXR2	17	7591230	7614867	ENST00000250113
BCL2L2	14	23306762	23311759	ENST00000250405
EAPP	14	34515929	34539710	ENST00000250454
NEDD8	14	24216852	24232454	ENST00000250495
DAD1	14	22564905	22589269	ENST00000250498
MAPK8IP3	16	1706183	1770317	ENST00000250894
LMAN1	18	59327823	59359962	ENST00000251047
DHX40	17	59565525	59608345	ENST00000251241
KHNYN	14	24429286	24441834	ENST00000251343
TUBG1	17	42609676	42615234	ENST00000251413
RPS16	19	39433207	39435948	ENST00000251453
ESYT2	7	158730995	158829628	ENST00000251527
DHX29	5	55256245	55307722	ENST00000251636
RAF1	3	12583601	12664226	ENST00000251849
NDUFA2	5	140645285	140647785	ENST00000252102
ELOF1	19	11553043	11559236	ENST00000252445
SAFB2	19	5586999	5622980	ENST00000252542
MRPL34	19	17305668	17306843	ENST00000252602
PGLS	19	17511629	17521288	ENST00000252603
ACTN4	19	38647670	38731583	ENST00000252699
LSM4	19	18306907	18323071	ENST00000252816
ADRM1	20	62302896	62308860	ENST00000253003
UBE2M	19	58555712	58558960	ENST00000253023
TRIM28	19	58544469	58550716	ENST00000253024
EIF2S3	X	24054716	24077971	ENST00000253039
EIF3G	19	10115017	10119902	ENST00000253108
PPIL4	6	149504733	149546038	ENST00000253329
ATP6V1E1	22	17592136	17628818	ENST00000253413
COX4I1	16	85799684	85807002	ENST00000253452
EMC8	16	85778624	85799540	ENST00000253457
MRPS25	3	15048518	15065335	ENST00000253686
RBSN	3	15070073	15099148	ENST00000253699
NR1H2	19	50376469	50382982	ENST00000253727
RPL27	17	42998419	43002959	ENST00000253788
VPS25	17	42773436	42779599	ENST00000253794
DCAF15	19	13952492	13961449	ENST00000254337
SMARCC1	3	47585272	47781917	ENST00000254480
TIMM10B	11	6481447	6484679	ENST00000254616
ILKAP	2	238170401	238203729	ENST00000254654
RPA1	17	1829984	1899554	ENST00000254719
EEFSEC	3	128153454	128408646	ENST00000254730
UTP3	4	70688479	70690551	ENST00000254803
WBP2	17	75845699	75855420	ENST00000254806
H3F3B	17	75776434	75779779	ENST00000254810
ZRANB2	1	71063337	71081011	ENST00000254821
ERAL1	17	28854938	28861067	ENST00000254928
OSER1	20	44196496	44210791	ENST00000255174
USPL1	13	30617783	30659549	ENST00000255304
BTBD2	19	1985438	2015724	ENST00000255608
CSNK1G2	19	1941149	1981338	ENST00000255641
MED10	5	6371881	6378594	ENST00000255764
MKRN1	7	140453040	140479569	ENST00000255977
BTG1	12	92140278	92145897	ENST00000256015
IPO8	12	30628988	30695986	ENST00000256079
SARAF	8	30063012	30083207	ENST00000256255
EIF2S1	14	67359997	67386516	ENST00000256383
MBD2	18	54151601	54224788	ENST00000256429
IER3IP1	18	47152834	47176374	ENST00000256433
MRPS36	5	69217760	69230129	ENST00000256441
ARL8B	3	5122220	5180911	ENST00000256496
EMC7	15	34084017	34101948	ENST00000256545
ARF3	12	48935723	48957551	ENST00000256682
SLC38A2	12	46358189	46372867	ENST00000256689
NARS	18	57600656	57622173	ENST00000256854
RTL8C	X	135032366	135033546	ENST00000257013
PRPF38A	1	52404564	52420839	ENST00000257181
TIMM10	11	57528463	57530765	ENST00000257245
TMEM60	7	77793728	77798580	ENST00000257663
AKIRIN2	6	87675072	87702209	ENST00000257787
NAT10	11	34105602	34146910	ENST00000257829
CDK4	12	57747727	57752521	ENST00000257904
OS9	12	57694145	57721555	ENST00000257966
PRADC1	2	73228006	73233228	ENST00000258083
MRPL53	2	74471958	74473322	ENST00000258105
DYNC1LI2	16	66720893	66751798	ENST00000258198
MRPL44	2	223957404	223967714	ENST00000258383
CAB39	2	230712845	230821075	ENST00000258418
COX5B	2	97646040	97648383	ENST00000258424
MRPS9	2	105037983	105099960	ENST00000258455
MED4	13	48075956	48095104	ENST00000258648
NUDT15	13	48037567	48047222	ENST00000258662
KDELR2	7	6461081	6484242	ENST00000258739
CALCOCO2	17	48830988	48865245	ENST00000258947
RSAD1	17	50478800	50485975	ENST00000258955
NMT1	17	45061312	45109009	ENST00000258960
VEZF1	17	57971547	57982864	ENST00000258963
